dispute_reference_number,original_txn_id,dispute_amount,dispute_currency,visa_reason_code,dispute_date,card_bin,card_issuer_country
CB-00001,TXN-00223,320492.46,IDR,10.4,2026-04-20,453210,ID
CB-00003,TXN-00423,291100.50,IDR,10.4,2026-04-17,453210,ID
CB-00004,TXN-00243,407366.15,IDR,10.1,2026-04-04,453210,ID
CB-00008,TXN-00356,234.92,USD,10.4,2026-04-21,453210,NG
CB-00010,TXN-00393,260.53,USD,10.4,2026-04-26,424242,NG
CB-00011,TXN-00138,91.82,USD,10.5,2026-03-21,453210,NG
CB-00012,TXN-00210,410.32,USD,10.5,2026-04-15,650400,NG
CB-00016,TXN-00064,134.60,USD,10.4,2026-05-01,424242,NG
CB-00018,TXN-00466,318.78,USD,10.5,2026-04-28,401234,NG
CB-00019,TXN-00059,249.50,USD,10.5,2026-04-26,545454,NG
CB-00020,TXN-00023,494.85,USD,10.4,2026-04-28,549920,NG
CB-00021,TXN-00176,176.49,USD,10.4,2026-04-04,424242,NG
CB-00023,TXN-00334,277.88,USD,10.4,2026-04-18,510510,NG
CB-00036,TXN-00410,149.52,USD,13.1,2026-04-21,401234,SG
CB-00037,TXN-00327,19401.24,IDR,13.2,2026-04-28,601100,ID
