cbId,txnReference,amountCents,currencyCode,reasonCode,chargebackDate,binNumber,issuingCountry
CB-00002,TXN-00002,6634374,IDR,4837,03/27/2026,453210,ID
CB-00005,TXN-00258,38316798,IDR,4870,04/26/2026,453210,ID
CB-00006,TXN-00386,20244257,IDR,4870,05/01/2026,453210,ID
CB-00007,TXN-00060,16923,USD,PB-FRAUD-01,04/30/2026,453210,US
CB-00009,TXN-00403,6091,USD,PB-FRAUD-01,03/29/2026,453210,NG
CB-00014,TXN-00304,49784,USD,PB-FRAUD-02,05/01/2026,650400,NG
CB-00015,TXN-00415,45451,USD,PB-FRAUD-02,04/30/2026,411511,NG
CB-00017,TXN-00192,27666,USD,PB-FRAUD-02,04/01/2026,650400,NG
CB-00022,TXN-00195,15011,USD,PB-FRAUD-02,04/28/2026,470100,NG
CB-00024,TXN-00330,65651793,IDR,4870,04/28/2026,549920,ID
CB-00025,TXN-00144,3768935,IDR,PB-FRAUD-01,04/20/2026,549920,ID
CB-00026,TXN-00343,43361,USD,PB-FRAUD-03,04/28/2026,549920,SG
CB-00027,TXN-00054,32382,BRL,PB-FRAUD-01,04/28/2026,552233,BR
CB-00028,TXN-00416,29347,GBP,4837,04/27/2026,453210,GB
CB-00029,TXN-00234,9060546,IDR,PB-FRAUD-03,05/01/2026,411511,ID
CB-00030,TXN-00241,31598,USD,4870,04/05/2026,552233,US
CB-00031,TXN-00034,46520799,IDR,4837,04/30/2026,453210,ID
CB-00032,TXN-00464,49414861,IDR,PB-FRAUD-03,04/27/2026,650400,ID
